Comment,Description,Designator,Footprint,LibRef,Quantity,Variant,Revision,Trenz-Stock,Value,AN,Case,Center-X(Mil),Center-X(mm),Center-Y(Mil),Center-Y(mm),Layer,Rotation,Pad-X(Mil),Pad-X(mm),Pad-Y(Mil),Pad-Y(mm),Ref-X(Mil),Ref-X(mm),Ref-Y(Mil),Ref-Y(mm)
"IND-Ferrite","Ferrite Inductor","L3","RESC1005X40R","IND-Ferrite","1","","01","","","","","447.238","11.36","1463.392","37.17","Top","90","447.238","11.36","1443.707","36.67","447.244","11.36","1463.386","37.17"
"BKP0603HS121-T","Ferritdurchführung SMD 0201","L4","INDC0603X33N","25393","1","","01","Yes","","25393","0603 (0201)","1296.44","32.93","914.964","23.24","Bottom","270","1296.44","32.93","926.185","23.525","1296.44","32.93","914.964","23.24"
"FIDU-DOT - small","FIDU-DOT - SMALL","PM1","FIDU-DOT - small","22905","1","","01","","","22905","","2874.016","73","78.74","2","Bottom","270","2874.016","73","78.74","2","2874.016","73","78.74","2"
"FIDU-DOT - small","FIDU-DOT - SMALL","PM2","FIDU-DOT - small","22905","1","","01","","","22905","","78.74","2","78.74","2","Top","90","78.74","2","78.74","2","78.74","2","78.74","2"
"FIDU-DOT - small","FIDU-DOT - SMALL","PM3","FIDU-DOT - small","22905","1","","01","","","22905","","2893.701","73.5","1269.685","32.25","Bottom","90","2893.701","73.5","1269.685","32.25","2893.701","73.5","1269.685","32.25"
"FIDU-DOT - small","FIDU-DOT - SMALL","PM4","FIDU-DOT - small","22905","1","","01","","","22905","","2893.701","73.5","1269.685","32.25","Top","90","2893.701","73.5","1269.685","32.25","2893.701","73.5","1269.685","32.25"
"FIDU-DOT - small","FIDU-DOT - SMALL","PM5","FIDU-DOT - small","22905","1","","01","","","22905","","78.74","2","78.74","2","Bottom","90","78.74","2","78.74","2","78.74","2","78.74","2"
"FIDU-DOT - small","FIDU-DOT - SMALL","PM6","FIDU-DOT - small","22905","1","","01","","","22905","","2874.016","73","78.74","2","Top","270","2874.016","73","78.74","2","2874.016","73","78.74","2"
"33R","WID SMD 33R 1% 0,05W","R1","RESC0603X26N","25021","1","","01","","33","25021","0603 (0201)","1400.914","35.583","967.835","24.583","Bottom","270","1400.914","35.583","979.055","24.868","1400.914","35.583","967.835","24.583"
"10K","WID SMD 10K 1% 0,05W","R2","RESC0603X26N","24914","1","","01","","10K","24914","0603 (0201)","1615.821","41.042","1299.998","33.02","Top","270","1615.821","41.042","1311.218","33.305","1615.821","41.042","1299.998","33.02"
"470R","WID SMD 470R 1% 0,063W","R3","RESC1005X40N","22769","1","","01","","470","22769","1005 (0402)","1611.747","40.938","928.538","23.585","Top","270","1611.747","40.938","946.254","24.035","1611.748","40.938","928.539","23.585"
"33R","WID SMD 33R 1% 0,05W","R4","RESC0603X26N","25021","1","","01","","33","25021","0603 (0201)","1788.607","45.431","969.177","24.617","Top","0","1777.387","45.146","969.177","24.617","1788.607","45.431","969.177","24.617"
"10K","WID SMD 10K 1% 0,05W","R5","RESC0603X26N","24914","1","","01","","10K","24914","0603 (0201)","1728.084","43.893","968.187","24.592","Top","180","1739.304","44.178","968.187","24.592","1728.084","43.893","968.187","24.592"
"10K","WID SMD 10K 1% 0,05W","R6","RESC0603X26N","24914","1","","01","","10K","24914","0603 (0201)","1612.418","40.955","865.33","21.979","Top","270","1612.418","40.955","876.55","22.264","1612.418","40.955","865.33","21.979"
"470R","WID SMD 470R 1% 0,063W","R7","RESC1005X40N","22769","1","","01","","470","22769","1005 (0402)","1610.767","40.913","1213.823","30.831","Top","90","1610.767","40.913","1196.107","30.381","1610.766","40.913","1213.822","30.831"
"33R","WID SMD 33R 1% 0,05W","R8","RESC0603X26N","25021","1","","01","","33","25021","0603 (0201)","1611.884","40.942","1061.016","26.95","Top","90","1611.884","40.942","1049.795","26.665","1611.884","40.942","1061.016","26.95"
"10K","WID SMD 10K 1% 0,05W","R9","RESC0603X26N","24914","1","","01","","10K","24914","0603 (0201)","2148.062","54.561","1439.358","36.56","Top","270","2148.062","54.561","1450.579","36.845","2148.062","54.561","1439.358","36.56"
"10K","WID SMD 10K 1% 0,05W","R10","RESC0603X26N","24914","1","","01","","10K","24914","0603 (0201)","1611.892","40.942","1147.851","29.155","Top","270","1611.892","40.942","1159.071","29.44","1611.892","40.942","1147.851","29.155"
"10K","WID SMD 10K 1% 0,05W","R11","RESC0603X26N","24914","1","","01","","10K","24914","0603 (0201)","1847.573","46.928","969.423","24.623","Top","180","1858.793","47.213","969.423","24.623","1847.573","46.928","969.423","24.623"
"10K","WID SMD 10K 1% 0,05W","R12","RESC0603X26N","24914","1","","01","","10K","24914","0603 (0201)","1612.358","40.954","809.629","20.565","Top","90","1612.358","40.954","798.408","20.28","1612.358","40.954","809.629","20.565"
"10K","WID SMD 10K 1% 0,05W","R13","RESC0603X26N","24914","1","","01","","10K","24914","0603 (0201)","1671.432","42.454","968.187","24.592","Top","180","1682.653","42.739","968.187","24.592","1671.432","42.454","968.187","24.592"
"33R","WID SMD 0","R14","RESC0603X26N","25021","1","","01","","33","25021","0603 (0201)","491.525","12.485","1443.692","36.67","Top","180","502.745","12.77","1443.692","36.67","491.525","12.485","1443.692","36.67"
"33R","WID SMD 0","R15","RESC0603X26N","25021","1","","01","","33","25021","0603 (0201)","535.039","13.59","1432.48","36.385","Top","90","535.039","13.59","1421.26","36.1","535.039","13.59","1432.48","36.385"
"10K","WID SMD 10K 1% 0,05W","R16","RESC0603X26N","24914","1","","01","","10K","24914","0603 (0201)","2332.565","59.247","471.976","11.988","Bottom","90","2332.565","59.247","460.755","11.703","2332.565","59.247","471.976","11.988"
"10K","WID SMD 10K 1% 0,05W","R17","RESC0603X26N","24914","1","","01","","10K","24914","0603 (0201)","2235.248","56.775","476.93","12.114","Bottom","90","2235.248","56.775","465.709","11.829","2235.248","56.775","476.929","12.114"
"10K","WID SMD 10K 1% 0,05W","R18","RESC0603X26N","24914","1","","01","","10K","24914","0603 (0201)","2306.349","58.581","679.049","17.248","Top","180","2317.569","58.866","679.049","17.248","2306.349","58.581","679.049","17.248"
"10K","WID SMD 10K 1% 0,05W","R19","RESC0603X26N","24914","1","","01","","10K","24914","0603 (0201)","2024.137","51.413","1042.669","26.484","Top","270","2024.137","51.413","1053.89","26.769","2024.137","51.413","1042.669","26.484"
"10K","WID SMD 10K 1% 0,05W","R20","RESC0603X26N","24914","1","","01","","10K","24914","0603 (0201)","2152.845","54.682","684.648","17.39","Top","180","2164.065","54.967","684.648","17.39","2152.845","54.682","684.648","17.39"
"10K","WID SMD 10K 1% 0,05W","R21","RESC0603X26N","24914","1","","01","","10K","24914","0603 (0201)","2020.938","51.332","722.946","18.363","Top","270","2020.938","51.332","734.167","18.648","2020.938","51.332","722.946","18.363"
"10K","WID SMD 10K 1% 0,05W","R22","RESC0603X26N","24914","1","","01","","10K","24914","0603 (0201)","2362.648","60.011","679.299","17.254","Top","0","2351.427","59.726","679.299","17.254","2362.648","60.011","679.299","17.254"
"4K7","WID SMD 4K7 1% 0,05W","R23","RESC0603X26N","25242","1","","01","","4.7K","25242","0603 (0201)","1791.339","45.5","551.181","14","Top","270","1791.339","45.5","562.402","14.285","1791.339","45.5","551.181","14"
"470R","WID SMD 470R 1% 0,063W","R24","RESC1005X40N","22769","1","","01","","470","22769","1005 (0402)","2183.333","55.457","1445.897","36.726","Top","270","2183.333","55.457","1463.614","37.176","2183.334","55.457","1445.899","36.726"
"470R","WID SMD 470R 1% 0,063W","R25","RESC1005X40N","22769","1","","01","","470","22769","1005 (0402)","1956.692","49.7","1314.962","33.4","Top","180","1974.408","50.15","1314.962","33.4","1956.693","49.7","1314.961","33.4"
